data,valor
2017-12-20,2191.38
2017-12-21,2190.37
2017-12-22,2187.08
2017-12-26,2203.37
2017-12-27,2217.01
2017-12-28,2226.46
2018-01-02,2238.05
2018-01-03,2247.45
2018-01-04,2248.29
2018-01-05,2244.81
2018-01-08,2242.59
2018-01-09,2240.93
2018-01-10,2243.41
2018-01-11,2246.55
2018-01-12,2251.56
2018-01-15,2250.38
2018-01-16,2258.71
2018-01-17,2262.37
2018-01-18,2264.62
2018-01-19,2267.67
2018-01-22,2263.35
2018-01-23,2260.00
2018-01-24,2265.38
2018-01-26,2279.14
2018-01-29,2275.42
2018-01-30,2278.14
2018-01-31,2285.23
2018-02-01,2275.99
2018-02-02,2272.80
2018-02-05,2267.36
2018-02-06,2267.62
2018-02-07,2267.09
2018-02-08,2267.28
2018-02-09,2268.57
2018-02-14,2268.43
2018-02-15,2269.92
2018-02-16,2277.59
2018-02-19,2279.83
2018-02-20,2282.65
2018-02-21,2284.85
2018-02-22,2287.55
2018-02-23,2294.88
2018-02-26,2297.99
2018-02-27,2296.52
2018-02-28,2311.41
2018-03-01,2303.74
2018-03-02,2297.10
2018-03-05,2295.40
2018-03-06,2294.79
2018-03-07,2296.47
2018-03-08,2301.44
2018-03-09,2307.55
2018-03-12,2312.85
2018-03-13,2316.95
2018-03-14,2317.86
2018-03-15,2322.04
2018-03-16,2322.11
2018-03-19,2324.41
2018-03-20,2329.47
2018-03-21,2328.01
2018-03-22,2333.53
2018-03-23,2338.57
2018-03-26,2345.65
2018-03-27,2349.61
2018-03-28,2353.52
2018-03-29,2357.54
2018-04-02,2353.96
2018-04-03,2359.13
2018-04-04,2359.67
2018-04-05,2351.57
2018-04-06,2362.18
2018-04-09,2352.34
2018-04-10,2346.64
2018-04-11,2347.54
2018-04-12,2346.08
2018-04-13,2348.67
2018-04-16,2343.29
2018-04-17,2344.62
2018-04-18,2341.00
2018-04-19,2340.63
2018-04-20,2334.12
2018-04-23,2330.99
2018-04-24,2326.74
2018-04-25,2315.88
2018-04-26,2319.61
2018-04-27,2325.79
2018-04-30,2337.25
2018-05-02,2326.43
2018-05-03,2327.30
2018-05-04,2327.39
2018-05-07,2313.08
2018-05-08,2309.05
2018-05-09,2305.52
2018-05-10,2302.68
2018-05-11,2303.06
2018-05-14,2300.95
2018-05-15,2294.26
2018-05-16,2277.69
2018-05-17,2265.20
2018-05-18,2250.83
2018-05-21,2239.40
2018-05-22,2217.75
2018-05-23,2220.02
2018-05-24,2209.39
2018-05-25,2206.63
2018-05-28,2184.69
2018-05-29,2203.59
2018-05-30,2214.11
2018-06-01,2211.67
